# frame, mcg, now4, now3, now2, sw34, sw23, f4_value, rg2_value, cage_big, cage_small, cage_ratio, surface_carbon_2, surface_carbon_3, n_core_2, n_core_3, surface_carbon_4, n_core_4
0.000000000000000000e+00 2.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.369036502877343964e-02 1.688864827156066895e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+00 2.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 3.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.000000000000000000e+00 0.000000000000000000e+00 6.000000000000000000e+00 7.759014135961456171e-02 2.062168717384338379e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+00 3.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 3.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 1.100000000000000000e+01 5.000000000000000000e+00 1.900000000000000000e+01 4.900000000000000000e+01 1.400000000000000000e+01 3.000000000000000000e+01 9.276500195040128516e-02 4.635289311408996582e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000000e+00 8.000000000000000000e+00 7.000000000000000000e+00 3.000000000000000000e+00 1.000000000000000000e+01 1.000000000000000000e+00
3.000000000000000000e+00 1.000000000000000000e+01 4.000000000000000000e+00 1.700000000000000000e+01 4.500000000000000000e+01 1.300000000000000000e+01 2.800000000000000000e+01 9.213613650176731562e-02 5.569553971290588379e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000000e+00 7.000000000000000000e+00 6.000000000000000000e+00 3.000000000000000000e+00 9.000000000000000000e+00 1.000000000000000000e+00
4.000000000000000000e+00 1.600000000000000000e+01 1.100000000000000000e+01 3.200000000000000000e+01 7.800000000000000000e+01 2.100000000000000000e+01 4.600000000000000000e+01 9.072948056222973623e-02 6.929129958152770996e-01 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e+00 1.000000000000000000e+01 1.100000000000000000e+01 6.000000000000000000e+00 1.400000000000000000e+01 2.000000000000000000e+00
5.000000000000000000e+00 8.000000000000000000e+00 4.000000000000000000e+00 1.300000000000000000e+01 3.700000000000000000e+01 9.000000000000000000e+00 2.400000000000000000e+01 8.692341607617770638e-02 4.327677488327026367e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+00 6.000000000000000000e+00 6.000000000000000000e+00 2.000000000000000000e+00 8.000000000000000000e+00 0.000000000000000000e+00
6.000000000000000000e+00 1.800000000000000000e+01 1.100000000000000000e+01 3.800000000000000000e+01 9.300000000000000000e+01 2.700000000000000000e+01 5.500000000000000000e+01 8.077574387512710674e-02 7.203596830368041992e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000000e+00 8.000000000000000000e+00 1.400000000000000000e+01 1.000000000000000000e+01 1.100000000000000000e+01 7.000000000000000000e+00
7.000000000000000000e+00 2.500000000000000000e+01 2.400000000000000000e+01 7.000000000000000000e+01 1.220000000000000000e+02 4.600000000000000000e+01 5.200000000000000000e+01 8.359451166263555388e-02 9.849202632904052734e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.000000000000000000e+00 1.600000000000000000e+01 1.700000000000000000e+01 9.000000000000000000e+00 2.100000000000000000e+01 4.000000000000000000e+00
8.000000000000000000e+00 2.300000000000000000e+01 1.400000000000000000e+01 5.200000000000000000e+01 1.080000000000000000e+02 3.800000000000000000e+01 5.600000000000000000e+01 8.922309683658251334e-02 1.133590698242187500e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.000000000000000000e+00 1.200000000000000000e+01 2.000000000000000000e+01 1.100000000000000000e+01 1.600000000000000000e+01 7.000000000000000000e+00
9.000000000000000000e+00 3.000000000000000000e+01 2.700000000000000000e+01 7.800000000000000000e+01 1.540000000000000000e+02 5.100000000000000000e+01 7.600000000000000000e+01 9.154950530110829432e-02 1.065878510475158691e+00 0.000000000000000000e+00 2.000000000000000000e+00 0.000000000000000000e+00 7.000000000000000000e+00 1.100000000000000000e+01 2.300000000000000000e+01 1.900000000000000000e+01 1.800000000000000000e+01 1.200000000000000000e+01
