# frame, mcg, now4, now3, now2, sw34, sw23, f4_value, rg2_value, cage_big, cage_small, cage_ratio, surface_carbon_2, surface_carbon_3, n_core_2, n_core_3, surface_carbon_4, n_core_4
0.000000000000000000e+00 2.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 8.271799555283897154e-02 2.917484641075134277e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+00 2.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 5.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000000e+00 1.700000000000000000e+01 4.000000000000000000e+00 1.300000000000000000e+01 8.860678603846301737e-02 4.504724144935607910e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.000000000000000000e+00 4.000000000000000000e+00 2.000000000000000000e+00 1.000000000000000000e+00 5.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 6.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e+00 2.300000000000000000e+01 5.000000000000000000e+00 1.800000000000000000e+01 7.638447497760833538e-02 3.408769667148590088e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.000000000000000000e+00 5.000000000000000000e+00 3.000000000000000000e+00 1.000000000000000000e+00 6.000000000000000000e+00 0.000000000000000000e+00
3.000000000000000000e+00 8.000000000000000000e+00 3.000000000000000000e+00 1.500000000000000000e+01 3.600000000000000000e+01 1.200000000000000000e+01 2.100000000000000000e+01 7.663034211535836582e-02 3.607056140899658203e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.000000000000000000e+00 5.000000000000000000e+00 5.000000000000000000e+00 3.000000000000000000e+00 8.000000000000000000e+00 0.000000000000000000e+00
4.000000000000000000e+00 7.000000000000000000e+00 4.000000000000000000e+00 1.400000000000000000e+01 3.300000000000000000e+01 1.000000000000000000e+01 1.900000000000000000e+01 7.600400090293650546e-02 2.505736052989959717e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+00 4.000000000000000000e+00 5.000000000000000000e+00 3.000000000000000000e+00 6.000000000000000000e+00 1.000000000000000000e+00
5.000000000000000000e+00 6.000000000000000000e+00 2.000000000000000000e+00 6.000000000000000000e+00 2.100000000000000000e+01 4.000000000000000000e+00 1.500000000000000000e+01 8.337370296572128858e-02 2.781039714813232422e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e+00 5.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 5.000000000000000000e+00 1.000000000000000000e+00
6.000000000000000000e+00 1.200000000000000000e+01 1.000000000000000000e+01 2.500000000000000000e+01 5.700000000000000000e+01 1.500000000000000000e+01 3.200000000000000000e+01 8.098965201514954360e-02 5.440853834152221680e-01 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000000e+00 7.000000000000000000e+00 8.000000000000000000e+00 5.000000000000000000e+00 8.000000000000000000e+00 4.000000000000000000e+00
7.000000000000000000e+00 1.100000000000000000e+01 8.000000000000000000e+00 2.200000000000000000e+01 4.900000000000000000e+01 1.400000000000000000e+01 2.700000000000000000e+01 9.541788808462976779e-02 3.912903964519500732e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e+00 8.000000000000000000e+00 6.000000000000000000e+00 3.000000000000000000e+00 1.000000000000000000e+01 1.000000000000000000e+00
8.000000000000000000e+00 1.100000000000000000e+01 5.000000000000000000e+00 2.100000000000000000e+01 5.400000000000000000e+01 1.600000000000000000e+01 3.300000000000000000e+01 9.521557593503193750e-02 2.011034011840820312e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000000e+00 7.000000000000000000e+00 7.000000000000000000e+00 4.000000000000000000e+00 9.000000000000000000e+00 2.000000000000000000e+00
9.000000000000000000e+00 9.000000000000000000e+00 8.000000000000000000e+00 1.900000000000000000e+01 4.000000000000000000e+01 1.100000000000000000e+01 2.100000000000000000e+01 1.011748757757403028e-01 3.179115653038024902e-01 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+00 6.000000000000000000e+00 7.000000000000000000e+00 3.000000000000000000e+00 8.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+01 1.100000000000000000e+01 8.000000000000000000e+00 2.400000000000000000e+01 4.900000000000000000e+01 1.600000000000000000e+01 2.500000000000000000e+01 8.209319797534600505e-02 4.578338265419006348e-01 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+00 6.000000000000000000e+00 9.000000000000000000e+00 5.000000000000000000e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.100000000000000000e+01 5.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+00 1.100000000000000000e+01 2.000000000000000000e+00 9.000000000000000000e+00 7.822511257615415159e-02 6.287497282028198242e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+00 5.000000000000000000e+00 3.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e+00 0.000000000000000000e+00
1.200000000000000000e+01 9.000000000000000000e+00 5.000000000000000000e+00 1.600000000000000000e+01 4.100000000000000000e+01 1.100000000000000000e+01 2.500000000000000000e+01 8.735612707097842322e-02 5.054020285606384277e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000000e+00 6.000000000000000000e+00 5.000000000000000000e+00 3.000000000000000000e+00 8.000000000000000000e+00 1.000000000000000000e+00
1.300000000000000000e+01 1.100000000000000000e+01 5.000000000000000000e+00 1.500000000000000000e+01 4.100000000000000000e+01 1.000000000000000000e+01 2.600000000000000000e+01 8.716255241875311977e-02 2.173789262771606445e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.000000000000000000e+00 6.000000000000000000e+00 8.000000000000000000e+00 5.000000000000000000e+00 9.000000000000000000e+00 2.000000000000000000e+00
1.400000000000000000e+01 1.200000000000000000e+01 1.200000000000000000e+01 3.000000000000000000e+01 5.700000000000000000e+01 1.800000000000000000e+01 2.700000000000000000e+01 1.037107403510161147e-01 4.601995050907135010e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.000000000000000000e+00 7.000000000000000000e+00 6.000000000000000000e+00 5.000000000000000000e+00 1.000000000000000000e+01 2.000000000000000000e+00
1.500000000000000000e+01 9.000000000000000000e+00 7.000000000000000000e+00 1.900000000000000000e+01 4.300000000000000000e+01 1.200000000000000000e+01 2.400000000000000000e+01 8.995816521109001318e-02 3.794762492179870605e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.000000000000000000e+00 4.000000000000000000e+00 6.000000000000000000e+00 5.000000000000000000e+00 7.000000000000000000e+00 2.000000000000000000e+00
1.600000000000000000e+01 1.400000000000000000e+01 1.200000000000000000e+01 3.400000000000000000e+01 6.600000000000000000e+01 2.200000000000000000e+01 3.200000000000000000e+01 8.760752474620191188e-02 5.125080943107604980e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.000000000000000000e+00 9.000000000000000000e+00 8.000000000000000000e+00 5.000000000000000000e+00 1.100000000000000000e+01 3.000000000000000000e+00
1.700000000000000000e+01 1.700000000000000000e+01 1.300000000000000000e+01 3.500000000000000000e+01 7.600000000000000000e+01 2.200000000000000000e+01 4.100000000000000000e+01 8.596774792380953989e-02 1.422895193099975586e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e+00 9.000000000000000000e+00 1.200000000000000000e+01 8.000000000000000000e+00 1.200000000000000000e+01 5.000000000000000000e+00
1.800000000000000000e+01 1.400000000000000000e+01 6.000000000000000000e+00 2.800000000000000000e+01 6.600000000000000000e+01 2.200000000000000000e+01 3.800000000000000000e+01 8.348524316806296697e-02 6.107668876647949219e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.000000000000000000e+00 1.100000000000000000e+01 8.000000000000000000e+00 3.000000000000000000e+00 1.300000000000000000e+01 1.000000000000000000e+00
1.900000000000000000e+01 1.400000000000000000e+01 1.500000000000000000e+01 3.600000000000000000e+01 6.500000000000000000e+01 2.100000000000000000e+01 2.900000000000000000e+01 9.646515297953953127e-02 5.333279371261596680e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.000000000000000000e+00 8.000000000000000000e+00 1.100000000000000000e+01 6.000000000000000000e+00 1.000000000000000000e+01 4.000000000000000000e+00
2.000000000000000000e+01 6.000000000000000000e+00 0.000000000000000000e+00 6.000000000000000000e+00 2.400000000000000000e+01 6.000000000000000000e+00 1.800000000000000000e+01 8.225781416527118417e-02 3.233854174613952637e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+00 5.000000000000000000e+00 4.000000000000000000e+00 1.000000000000000000e+00 5.000000000000000000e+00 1.000000000000000000e+00
2.100000000000000000e+01 1.600000000000000000e+01 1.500000000000000000e+01 4.000000000000000000e+01 7.300000000000000000e+01 2.500000000000000000e+01 3.300000000000000000e+01 8.462175307851223238e-02 6.074362993240356445e-01 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 7.000000000000000000e+00 1.100000000000000000e+01 9.000000000000000000e+00 5.000000000000000000e+00 1.300000000000000000e+01 3.000000000000000000e+00
2.200000000000000000e+01 1.700000000000000000e+01 1.500000000000000000e+01 4.100000000000000000e+01 7.700000000000000000e+01 2.600000000000000000e+01 3.600000000000000000e+01 9.307742243121025494e-02 1.465305328369140625e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.000000000000000000e+00 1.000000000000000000e+01 1.100000000000000000e+01 7.000000000000000000e+00 1.200000000000000000e+01 5.000000000000000000e+00
2.300000000000000000e+01 1.500000000000000000e+01 4.000000000000000000e+00 3.300000000000000000e+01 7.600000000000000000e+01 2.900000000000000000e+01 4.300000000000000000e+01 9.978428628488206220e-02 6.423411965370178223e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e+00 1.000000000000000000e+01 1.000000000000000000e+01 5.000000000000000000e+00 1.200000000000000000e+01 3.000000000000000000e+00
2.400000000000000000e+01 1.500000000000000000e+01 1.200000000000000000e+01 3.500000000000000000e+01 7.600000000000000000e+01 2.300000000000000000e+01 4.100000000000000000e+01 8.697186346212347485e-02 5.050189495086669922e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+00 8.000000000000000000e+00 1.300000000000000000e+01 7.000000000000000000e+00 1.000000000000000000e+01 5.000000000000000000e+00
2.500000000000000000e+01 1.600000000000000000e+01 1.900000000000000000e+01 4.300000000000000000e+01 7.700000000000000000e+01 2.400000000000000000e+01 3.400000000000000000e+01 8.226586857355251692e-02 4.295442700386047363e-01 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e+00 1.100000000000000000e+01 1.100000000000000000e+01 5.000000000000000000e+00 1.200000000000000000e+01 4.000000000000000000e+00
2.600000000000000000e+01 2.300000000000000000e+01 3.000000000000000000e+01 6.300000000000000000e+01 1.080000000000000000e+02 3.300000000000000000e+01 4.500000000000000000e+01 9.571038370592357958e-02 8.472634553909301758e-01 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+01 1.400000000000000000e+01 1.300000000000000000e+01 9.000000000000000000e+00 1.700000000000000000e+01 6.000000000000000000e+00
2.700000000000000000e+01 1.900000000000000000e+01 1.800000000000000000e+01 5.100000000000000000e+01 9.500000000000000000e+01 3.300000000000000000e+01 4.400000000000000000e+01 8.873592298901253339e-02 6.726722121238708496e-01 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000000e+00 8.000000000000000000e+00 1.500000000000000000e+01 1.100000000000000000e+01 1.100000000000000000e+01 8.000000000000000000e+00
2.800000000000000000e+01 2.000000000000000000e+01 2.800000000000000000e+01 5.700000000000000000e+01 1.020000000000000000e+02 2.900000000000000000e+01 4.500000000000000000e+01 7.982892841292525687e-02 6.038448810577392578e-01 0.000000000000000000e+00 2.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+00 9.000000000000000000e+00 1.800000000000000000e+01 1.100000000000000000e+01 1.200000000000000000e+01 8.000000000000000000e+00
2.900000000000000000e+01 1.700000000000000000e+01 2.000000000000000000e+01 3.900000000000000000e+01 8.000000000000000000e+01 1.900000000000000000e+01 4.100000000000000000e+01 9.648380429755788745e-02 6.015107631683349609e-01 0.000000000000000000e+00 2.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000000e+00 9.000000000000000000e+00 1.300000000000000000e+01 8.000000000000000000e+00 1.300000000000000000e+01 4.000000000000000000e+00
3.000000000000000000e+01 1.700000000000000000e+01 1.600000000000000000e+01 4.300000000000000000e+01 8.100000000000000000e+01 2.700000000000000000e+01 3.800000000000000000e+01 8.880580642393318125e-02 5.762543678283691406e-01 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 6.000000000000000000e+00 1.100000000000000000e+01 1.100000000000000000e+01 6.000000000000000000e+00 1.400000000000000000e+01 3.000000000000000000e+00
3.100000000000000000e+01 1.900000000000000000e+01 2.300000000000000000e+01 4.900000000000000000e+01 9.200000000000000000e+01 2.600000000000000000e+01 4.300000000000000000e+01 9.026609186385346761e-02 6.647015213966369629e-01 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+00 8.000000000000000000e+00 1.700000000000000000e+01 1.100000000000000000e+01 1.200000000000000000e+01 7.000000000000000000e+00
