# frame, mcg, now4, now3, now2, sw34, sw23, f4_value, rg2_value, cage_big, cage_small, cage_ratio, surface_carbon_2, surface_carbon_3, n_core_2, n_core_3, surface_carbon_4, n_core_4
0.000000000000000000e+00 4.000000000000000000e+00 1.000000000000000000e+00 5.000000000000000000e+00 1.600000000000000000e+01 4.000000000000000000e+00 1.100000000000000000e+01 7.754307381304803570e-02 1.522605121135711670e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+00 4.000000000000000000e+00 2.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 6.000000000000000000e+00 3.000000000000000000e+00 1.100000000000000000e+01 2.900000000000000000e+01 8.000000000000000000e+00 1.800000000000000000e+01 6.604994490452799349e-02 1.697949022054672241e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 2.000000000000000000e+00 5.000000000000000000e+00 4.000000000000000000e+00 5.000000000000000000e+00 1.000000000000000000e+00
2.000000000000000000e+00 9.000000000000000000e+00 6.000000000000000000e+00 1.700000000000000000e+01 4.000000000000000000e+01 1.100000000000000000e+01 2.300000000000000000e+01 7.550513528018426568e-02 2.020958900451660156e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+00 5.000000000000000000e+00 7.000000000000000000e+00 4.000000000000000000e+00 7.000000000000000000e+00 2.000000000000000000e+00
3.000000000000000000e+00 7.000000000000000000e+00 3.000000000000000000e+00 1.100000000000000000e+01 3.200000000000000000e+01 8.000000000000000000e+00 2.100000000000000000e+01 9.055184996405445108e-02 2.698426723480224609e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.000000000000000000e+00 4.000000000000000000e+00 4.000000000000000000e+00 3.000000000000000000e+00 5.000000000000000000e+00 2.000000000000000000e+00
4.000000000000000000e+00 7.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+01 3.400000000000000000e+01 9.000000000000000000e+00 2.400000000000000000e+01 9.924351225316249692e-02 2.402838945388793945e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000000e+00 5.000000000000000000e+00 3.000000000000000000e+00 2.000000000000000000e+00 7.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+00 1.000000000000000000e+01 2.000000000000000000e+00 1.000000000000000000e+01 3.600000000000000000e+01 8.000000000000000000e+00 2.600000000000000000e+01 8.898046438059011021e-02 3.421391010284423828e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e+00 9.000000000000000000e+00 5.000000000000000000e+00 1.000000000000000000e+00 9.000000000000000000e+00 1.000000000000000000e+00
6.000000000000000000e+00 8.000000000000000000e+00 6.000000000000000000e+00 1.700000000000000000e+01 3.700000000000000000e+01 1.100000000000000000e+01 2.000000000000000000e+01 8.709286134120090839e-02 4.232582747936248779e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.000000000000000000e+00 5.000000000000000000e+00 5.000000000000000000e+00 3.000000000000000000e+00 7.000000000000000000e+00 1.000000000000000000e+00
7.000000000000000000e+00 1.300000000000000000e+01 1.400000000000000000e+01 3.400000000000000000e+01 5.700000000000000000e+01 2.000000000000000000e+01 2.300000000000000000e+01 7.869775612347666705e-02 4.535351395606994629e-01 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+00 6.000000000000000000e+00 1.100000000000000000e+01 7.000000000000000000e+00 1.000000000000000000e+01 3.000000000000000000e+00
8.000000000000000000e+00 1.000000000000000000e+01 1.000000000000000000e+01 2.100000000000000000e+01 4.700000000000000000e+01 1.100000000000000000e+01 2.600000000000000000e+01 8.065955923634592073e-02 3.232610821723937988e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000000e+00 4.000000000000000000e+00 6.000000000000000000e+00 6.000000000000000000e+00 6.000000000000000000e+00 4.000000000000000000e+00
9.000000000000000000e+00 1.000000000000000000e+01 7.000000000000000000e+00 1.900000000000000000e+01 4.200000000000000000e+01 1.200000000000000000e+01 2.300000000000000000e+01 9.335494027027103903e-02 2.125291824340820312e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000000e+00 6.000000000000000000e+00 6.000000000000000000e+00 4.000000000000000000e+00 9.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+01 1.000000000000000000e+01 8.000000000000000000e+00 2.300000000000000000e+01 4.300000000000000000e+01 1.500000000000000000e+01 2.000000000000000000e+01 8.346256330670358270e-02 3.345886468887329102e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000000e+00 5.000000000000000000e+00 6.000000000000000000e+00 5.000000000000000000e+00 8.000000000000000000e+00 2.000000000000000000e+00
1.100000000000000000e+01 1.000000000000000000e+01 1.000000000000000000e+00 1.100000000000000000e+01 4.500000000000000000e+01 1.000000000000000000e+01 3.400000000000000000e+01 9.630757996232905405e-02 2.193353652954101562e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000000e+00 6.000000000000000000e+00 6.000000000000000000e+00 4.000000000000000000e+00 1.000000000000000000e+01 0.000000000000000000e+00
1.200000000000000000e+01 6.000000000000000000e+00 1.000000000000000000e+00 8.000000000000000000e+00 2.300000000000000000e+01 7.000000000000000000e+00 1.500000000000000000e+01 8.680743152702326271e-02 3.392396569252014160e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e+00 5.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 5.000000000000000000e+00 1.000000000000000000e+00
1.300000000000000000e+01 7.000000000000000000e+00 2.000000000000000000e+00 1.200000000000000000e+01 2.800000000000000000e+01 1.000000000000000000e+01 1.600000000000000000e+01 7.681394764293150712e-02 2.854597568511962891e-01 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000000e+00 6.000000000000000000e+00 3.000000000000000000e+00 1.000000000000000000e+00 6.000000000000000000e+00 1.000000000000000000e+00
